ProcedureName,ParameterName,DataType,DefaultExpression
USP_IndexUsage,LockTimeoutMs,int,0
USP_IndexUsage,ResultSetArt,varchar(16),'CONSOLE'
USP_IndexUsage,JsonErzeugen,bit,0
USP_IndexUsage,Json,nvarchar(max),NULL OUTPUT
USP_IndexUsage,PrintMeldungen,bit,1
USP_IndexUsage,Hilfe,bit,0
USP_IndexOperationalStats,DatabaseNames,nvarchar(max),N''
USP_IndexOperationalStats,SystemdatenbankenEinbeziehen,bit,0
USP_IndexOperationalStats,DatabaseNamePattern,nvarchar(4000),NULL
USP_IndexOperationalStats,SchemaNames,nvarchar(max),NULL
USP_IndexOperationalStats,SchemaNamePattern,nvarchar(4000),NULL
USP_IndexOperationalStats,ObjectNames,nvarchar(max),NULL
USP_IndexOperationalStats,ObjectNamePattern,nvarchar(4000),NULL
USP_IndexOperationalStats,FullObjectNames,nvarchar(max),NULL
USP_IndexOperationalStats,IndexNames,nvarchar(max),NULL
USP_IndexOperationalStats,IndexNamePattern,nvarchar(4000),NULL
USP_IndexOperationalStats,AnalyseModus,varchar(16),'GEZIELT'
USP_IndexOperationalStats,PartitionNumber,int,NULL
USP_IndexOperationalStats,NurMitAktivitaet,bit,1
USP_IndexOperationalStats,MinLeafPageAllocations,bigint,0
USP_IndexOperationalStats,MinLockWaitMs,bigint,0
USP_IndexOperationalStats,MaxDatenbanken,int,16
USP_IndexOperationalStats,MaxZeilen,int,5000
USP_IndexOperationalStats,LockTimeoutMs,int,0
USP_IndexOperationalStats,ResultSetArt,varchar(16),'CONSOLE'
USP_IndexOperationalStats,JsonErzeugen,bit,0
USP_IndexOperationalStats,Json,nvarchar(max),NULL OUTPUT
USP_IndexOperationalStats,PrintMeldungen,bit,1
USP_IndexOperationalStats,Hilfe,bit,0
USP_MissingIndexes,DatabaseNames,nvarchar(max),N''
USP_MissingIndexes,SystemdatenbankenEinbeziehen,bit,0
USP_MissingIndexes,DatabaseNamePattern,nvarchar(4000),NULL
USP_MissingIndexes,SchemaNames,nvarchar(max),NULL
USP_MissingIndexes,SchemaNamePattern,nvarchar(4000),NULL
USP_MissingIndexes,ObjectNames,nvarchar(max),NULL
USP_MissingIndexes,ObjectNamePattern,nvarchar(4000),NULL
USP_MissingIndexes,FullObjectNames,nvarchar(max),NULL
USP_MissingIndexes,MinUserReads,bigint,1
USP_MissingIndexes,MinAvgUserImpact,"decimal(9,2)",0
USP_MissingIndexes,MinImprovementMeasure,"decimal(28,2)",0
USP_MissingIndexes,MaxDatenbanken,int,16
USP_MissingIndexes,MaxZeilen,int,5000
USP_MissingIndexes,LockTimeoutMs,int,0
USP_MissingIndexes,ResultSetArt,varchar(16),'CONSOLE'
USP_MissingIndexes,JsonErzeugen,bit,0
USP_MissingIndexes,Json,nvarchar(max),NULL OUTPUT
USP_MissingIndexes,PrintMeldungen,bit,1
USP_MissingIndexes,Hilfe,bit,0
USP_Statistics,DatabaseNames,nvarchar(max),N''
USP_Statistics,SystemdatenbankenEinbeziehen,bit,0
USP_Statistics,DatabaseNamePattern,nvarchar(4000),NULL
USP_Statistics,SchemaNames,nvarchar(max),NULL
USP_Statistics,SchemaNamePattern,nvarchar(4000),NULL
USP_Statistics,ObjectNames,nvarchar(max),NULL
USP_Statistics,ObjectNamePattern,nvarchar(4000),NULL
USP_Statistics,FullObjectNames,nvarchar(max),NULL
USP_Statistics,StatisticsNames,nvarchar(max),NULL
USP_Statistics,StatisticsNamePattern,nvarchar(4000),NULL
USP_Statistics,AnalyseModus,varchar(16),'GEZIELT'
USP_Statistics,MinModificationPercent,"decimal(9,2)",0
USP_Statistics,MinAlterTage,int,0
USP_Statistics,MitIncrementellenDetails,bit,0
USP_Statistics,MaxDatenbanken,int,16
USP_Statistics,MaxZeilen,int,10000
USP_Statistics,LockTimeoutMs,int,0
USP_Statistics,ResultSetArt,varchar(16),'CONSOLE'
USP_Statistics,JsonErzeugen,bit,0
USP_Statistics,Json,nvarchar(max),NULL OUTPUT
USP_Statistics,PrintMeldungen,bit,1
USP_Statistics,Hilfe,bit,0
USP_StatisticsDistributionAnalysis,DatabaseNames,nvarchar(max),N''
USP_StatisticsDistributionAnalysis,SystemdatenbankenEinbeziehen,bit,0
USP_StatisticsDistributionAnalysis,DatabaseNamePattern,nvarchar(4000),NULL
USP_StatisticsDistributionAnalysis,SchemaNames,nvarchar(max),NULL
USP_StatisticsDistributionAnalysis,SchemaNamePattern,nvarchar(4000),NULL
USP_StatisticsDistributionAnalysis,ObjectNames,nvarchar(max),NULL
USP_StatisticsDistributionAnalysis,ObjectNamePattern,nvarchar(4000),NULL
USP_StatisticsDistributionAnalysis,FullObjectNames,nvarchar(max),NULL
USP_StatisticsDistributionAnalysis,StatisticsNames,nvarchar(max),NULL
USP_StatisticsDistributionAnalysis,StatisticsNamePattern,nvarchar(4000),NULL
USP_StatisticsDistributionAnalysis,AnalyseModus,varchar(16),'GEZIELT'
USP_StatisticsDistributionAnalysis,MaxVerteilungsStatistiken,int,50
USP_StatisticsDistributionAnalysis,MinVerteilungsZeilen,bigint,1000
USP_StatisticsDistributionAnalysis,SkewWarnFaktor,"decimal(19,4)",10
USP_StatisticsDistributionAnalysis,DominanterSchrittWarnPercent,"decimal(9,4)",50
USP_StatisticsDistributionAnalysis,ModificationWarnPercent,"decimal(9,4)",20
USP_StatisticsDistributionAnalysis,PartitionSpreadWarnPercent,"decimal(9,4)",20
USP_StatisticsDistributionAnalysis,MaxDatenbanken,int,16
USP_StatisticsDistributionAnalysis,MaxZeilen,int,1000
USP_StatisticsDistributionAnalysis,LockTimeoutMs,int,0
USP_StatisticsDistributionAnalysis,ResultSetArt,varchar(16),'CONSOLE'
USP_StatisticsDistributionAnalysis,JsonErzeugen,bit,0
USP_StatisticsDistributionAnalysis,Json,nvarchar(max),NULL OUTPUT
USP_StatisticsDistributionAnalysis,PrintMeldungen,bit,1
USP_StatisticsDistributionAnalysis,Hilfe,bit,0
USP_StatisticsDistributionAnalysis,StatusCodeOut,varchar(40),NULL OUTPUT
USP_StatisticsDistributionAnalysis,IsPartialOut,bit,NULL OUTPUT
USP_StatisticsDistributionAnalysis,ErrorNumberOut,int,NULL OUTPUT
USP_StatisticsDistributionAnalysis,ErrorMessageOut,nvarchar(2048),NULL OUTPUT
USP_Partitions,DatabaseNames,nvarchar(max),N''
USP_Partitions,SystemdatenbankenEinbeziehen,bit,0
USP_Partitions,DatabaseNamePattern,nvarchar(4000),NULL
USP_Partitions,SchemaNames,nvarchar(max),NULL
USP_Partitions,SchemaNamePattern,nvarchar(4000),NULL
USP_Partitions,ObjectNames,nvarchar(max),NULL
USP_Partitions,ObjectNamePattern,nvarchar(4000),NULL
USP_Partitions,FullObjectNames,nvarchar(max),NULL
USP_Partitions,AnalyseModus,varchar(16),'GEZIELT'
USP_Partitions,NurPartitionierte,bit,0
USP_Partitions,NurGemischteKompression,bit,0
USP_Partitions,MaxDatenbanken,int,16
USP_Partitions,MaxZeilen,int,10000
USP_Partitions,LockTimeoutMs,int,0
USP_Partitions,ResultSetArt,varchar(16),'CONSOLE'
USP_Partitions,JsonErzeugen,bit,0
USP_Partitions,Json,nvarchar(max),NULL OUTPUT
USP_Partitions,PrintMeldungen,bit,1
USP_Partitions,Hilfe,bit,0
USP_Columnstore,DatabaseNames,nvarchar(max),N''
USP_Columnstore,SystemdatenbankenEinbeziehen,bit,0
USP_Columnstore,DatabaseNamePattern,nvarchar(4000),NULL
USP_Columnstore,SchemaNames,nvarchar(max),NULL
USP_Columnstore,SchemaNamePattern,nvarchar(4000),NULL
